"outcome","input","quant"
0.0278026165277948,2000,0.05
0.0751397738651541,2000,0.25
0.133239321944787,2000,0.5
0.202704220601668,2000,0.75
0.325657167241619,2000,0.95
0.0278026165277948,2001,0.05
0.0751397738651541,2001,0.25
0.133239321944787,2001,0.5
0.202704220601668,2001,0.75
0.325657167241619,2001,0.95
0.0278026165277948,2002,0.05
0.0751397738651541,2002,0.25
0.133239321944787,2002,0.5
0.202704220601668,2002,0.75
0.325657167241619,2002,0.95
0.0278026165277948,2003,0.05
0.0751397738651541,2003,0.25
0.133239321944787,2003,0.5
0.202704220601668,2003,0.75
0.325657167241619,2003,0.95
0.0278026165277948,2004,0.05
0.0751397738651541,2004,0.25
0.133239321944787,2004,0.5
0.202704220601668,2004,0.75
0.325657167241619,2004,0.95
0.0278026165277948,2005,0.05
0.0751397738651541,2005,0.25
0.133239321944787,2005,0.5
0.202704220601668,2005,0.75
0.325657167241619,2005,0.95
0.0278026165277948,2006,0.05
0.0751397738651541,2006,0.25
0.133239321944787,2006,0.5
0.202704220601668,2006,0.75
0.325657167241619,2006,0.95
0.0278026165277948,2007,0.05
0.0751397738651541,2007,0.25
0.133239321944787,2007,0.5
0.202704220601668,2007,0.75
0.325657167241619,2007,0.95
0.0278026165277948,2008,0.05
0.0751397738651541,2008,0.25
0.133239321944787,2008,0.5
0.202704220601668,2008,0.75
0.325657167241619,2008,0.95
0.0278026165277948,2009,0.05
0.0751397738651541,2009,0.25
0.133239321944787,2009,0.5
0.202704220601668,2009,0.75
0.325657167241619,2009,0.95
0.0278026165277948,2010,0.05
0.0751397738651541,2010,0.25
0.133239321944787,2010,0.5
0.202704220601668,2010,0.75
0.325657167241619,2010,0.95
0.0278026165277948,2011,0.05
0.0751397738651541,2011,0.25
0.133239321944787,2011,0.5
0.202704220601668,2011,0.75
0.325657167241619,2011,0.95
0.0278026165277948,2012,0.05
0.0751397738651541,2012,0.25
0.133239321944787,2012,0.5
0.202704220601668,2012,0.75
0.325657167241619,2012,0.95
0.0278026165277948,2013,0.05
0.0751397738651541,2013,0.25
0.133239321944787,2013,0.5
0.202704220601668,2013,0.75
0.325657167241619,2013,0.95
0.0278026165277948,2014,0.05
0.0751397738651541,2014,0.25
0.133239321944787,2014,0.5
0.202704220601668,2014,0.75
0.325657167241619,2014,0.95
0.0278026165277948,2015,0.05
0.0751397738651541,2015,0.25
0.133239321944787,2015,0.5
0.202704220601668,2015,0.75
0.325657167241619,2015,0.95
0.0278026165277948,2016,0.05
0.0751397738651541,2016,0.25
0.133239321944787,2016,0.5
0.202704220601668,2016,0.75
0.325657167241619,2016,0.95
0.0278026165277948,2017,0.05
0.0751397738651541,2017,0.25
0.133239321944787,2017,0.5
0.202704220601668,2017,0.75
0.325657167241619,2017,0.95
0.0278026165277948,2018,0.05
0.0751397738651541,2018,0.25
0.133239321944787,2018,0.5
0.202704220601668,2018,0.75
0.325657167241619,2018,0.95
0.0278026165277948,2019,0.05
0.0751397738651541,2019,0.25
0.133239321944787,2019,0.5
0.202704220601668,2019,0.75
0.325657167241619,2019,0.95
0.0278026165277948,2020,0.05
0.0751397738651541,2020,0.25
0.133239321944787,2020,0.5
0.202704220601668,2020,0.75
0.325657167241619,2020,0.95
0.0278026165277948,2021,0.05
0.0751397738651541,2021,0.25
0.133239321944787,2021,0.5
0.202704220601668,2021,0.75
0.325657167241619,2021,0.95
0.0278026165277948,2022,0.05
0.0751397738651541,2022,0.25
0.133239321944787,2022,0.5
0.202704220601668,2022,0.75
0.325657167241619,2022,0.95
0.0278026165277948,2023,0.05
0.0751397738651541,2023,0.25
0.133239321944787,2023,0.5
0.202704220601668,2023,0.75
0.325657167241619,2023,0.95
