latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.600006,9.0,393.0,7200,Europe/Berlin,CEST

time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),surface_pressure (hPa)
2016-01-01T00:00,1.4,97,0.9,-1.3,0.00,0.00,0.00,0.00,977.2
2016-01-01T01:00,1.5,97,1.0,-1.1,0.00,0.00,0.00,0.00,977.4
2016-01-01T02:00,1.8,97,1.4,-0.8,0.00,0.00,0.00,0.00,977.4
2016-01-01T03:00,2.3,97,1.8,-0.4,0.00,0.00,0.00,0.00,977.6
2016-01-01T04:00,2.5,97,2.0,0.1,0.00,0.00,0.00,0.00,978.0
2016-01-01T05:00,2.6,96,2.0,0.3,0.00,0.00,0.00,0.00,978.4
2016-01-01T06:00,2.1,96,1.5,-0.2,0.00,0.00,0.00,0.00,978.4
2016-01-01T07:00,1.6,96,1.0,-0.8,0.00,0.00,0.00,0.00,978.2
2016-01-01T08:00,1.2,96,0.7,-1.3,0.00,0.00,0.00,0.00,978.5
2016-01-01T09:00,0.3,98,0.1,-2.3,0.00,0.00,0.00,0.00,978.4
2016-01-01T10:00,0.5,98,0.2,-2.3,0.00,0.00,0.00,0.00,978.7
2016-01-01T11:00,2.2,98,1.9,-0.2,0.00,0.00,0.00,0.00,978.8
2016-01-01T12:00,4.6,96,4.1,2.5,0.00,0.00,0.00,0.00,979.3
2016-01-01T13:00,5.8,94,4.9,3.6,0.00,0.00,0.00,0.00,979.0
2016-01-01T14:00,6.8,93,5.7,4.6,0.00,0.00,0.00,0.00,978.3
2016-01-01T15:00,7.0,90,5.5,4.9,0.00,0.00,0.00,0.00,977.6
2016-01-01T16:00,6.7,91,5.4,4.6,0.00,0.00,0.00,0.00,976.9
2016-01-01T17:00,5.7,96,5.1,3.4,0.00,0.00,0.00,0.00,976.7
2016-01-01T18:00,4.7,99,4.5,2.2,0.00,0.00,0.00,0.00,976.4
2016-01-01T19:00,4.1,99,3.9,1.1,0.00,0.00,0.00,0.00,975.8
2016-01-01T20:00,3.5,98,3.2,0.1,0.00,0.00,0.00,0.00,975.1
2016-01-01T21:00,3.4,93,2.5,-0.2,0.00,0.00,0.00,0.00,974.5
2016-01-01T22:00,3.4,92,2.2,-0.3,0.00,0.00,0.00,0.00,973.6
2016-01-01T23:00,3.3,91,2.0,-0.4,0.00,0.00,0.00,0.00,972.5
2016-01-02T00:00,3.2,91,1.9,0.0,0.00,0.00,0.00,0.00,971.9
2016-01-02T01:00,3.2,91,1.9,0.1,0.00,0.00,0.00,0.00,971.9
2016-01-02T02:00,3.1,92,1.9,0.0,0.00,0.00,0.00,0.00,971.3
2016-01-02T03:00,3.0,92,1.9,-0.3,0.00,0.00,0.00,0.00,970.6
2016-01-02T04:00,2.9,93,1.9,-0.5,0.00,0.00,0.00,0.00,969.8
2016-01-02T05:00,2.7,93,1.8,-0.7,0.00,0.00,0.00,0.00,969.0
2016-01-02T06:00,2.5,94,1.7,-1.1,0.00,0.00,0.00,0.00,968.2
2016-01-02T07:00,2.4,94,1.6,-1.2,0.00,0.00,0.00,0.00,967.7
2016-01-02T08:00,2.5,93,1.5,-1.0,0.20,0.20,0.00,0.00,967.5
2016-01-02T09:00,2.8,91,1.5,-0.5,0.40,0.40,0.00,0.00,967.4
2016-01-02T10:00,2.9,93,1.9,-0.3,0.60,0.60,0.00,0.00,966.9
2016-01-02T11:00,3.3,93,2.3,0.2,0.60,0.60,0.00,0.00,966.8
2016-01-02T12:00,3.7,94,2.8,0.5,0.40,0.40,0.00,0.00,966.4
2016-01-02T13:00,4.4,93,3.3,1.6,0.40,0.40,0.00,0.00,965.9
2016-01-02T14:00,4.9,93,3.8,2.5,0.40,0.40,0.00,0.00,965.4
2016-01-02T15:00,5.2,93,4.1,2.9,0.50,0.50,0.00,0.00,965.0
2016-01-02T16:00,5.4,93,4.4,3.2,0.60,0.60,0.00,0.00,964.8
2016-01-02T17:00,5.5,93,4.4,3.4,0.60,0.60,0.00,0.00,965.0
2016-01-02T18:00,5.5,93,4.4,3.3,0.60,0.60,0.00,0.00,965.0
2016-01-02T19:00,5.5,93,4.4,3.3,0.70,0.70,0.00,0.00,965.2
2016-01-02T20:00,5.5,93,4.4,3.4,0.80,0.80,0.00,0.00,965.2
2016-01-02T21:00,5.6,94,4.7,3.4,0.70,0.70,0.00,0.00,965.2
2016-01-02T22:00,5.6,93,4.6,3.3,0.80,0.80,0.00,0.00,965.3
2016-01-02T23:00,5.5,93,4.4,3.1,0.70,0.70,0.00,0.00,965.5
2016-01-03T00:00,5.3,93,4.2,3.1,0.50,0.50,0.00,0.00,965.7
2016-01-03T01:00,5.1,92,3.9,2.7,0.60,0.60,0.00,0.00,965.7
2016-01-03T02:00,4.9,92,3.7,2.5,0.40,0.40,0.00,0.00,965.5
2016-01-03T03:00,4.8,93,3.7,2.3,0.30,0.30,0.00,0.00,965.2
2016-01-03T04:00,4.7,93,3.6,2.2,0.20,0.20,0.00,0.00,964.9
2016-01-03T05:00,4.6,94,3.6,2.1,0.20,0.20,0.00,0.00,964.7
2016-01-03T06:00,4.3,94,3.5,1.6,0.00,0.00,0.00,0.00,964.6
2016-01-03T07:00,4.4,94,3.6,1.5,0.00,0.00,0.00,0.00,964.5
2016-01-03T08:00,4.2,94,3.4,1.2,0.00,0.00,0.00,0.00,964.4
2016-01-03T09:00,4.1,93,3.0,1.0,0.00,0.00,0.00,0.00,963.9
2016-01-03T10:00,4.0,93,3.0,1.1,0.00,0.00,0.00,0.00,963.7
2016-01-03T11:00,4.4,93,3.3,1.6,0.00,0.00,0.00,0.00,963.4
2016-01-03T12:00,5.4,85,3.1,2.5,0.00,0.00,0.00,0.00,962.8
2016-01-03T13:00,6.1,79,2.7,3.0,0.00,0.00,0.00,0.00,962.2
2016-01-03T14:00,6.2,77,2.6,3.2,0.00,0.00,0.00,0.00,961.2
2016-01-03T15:00,6.3,77,2.6,3.4,0.00,0.00,0.00,0.00,960.1
2016-01-03T16:00,6.4,76,2.4,3.8,0.00,0.00,0.00,0.00,959.2
2016-01-03T17:00,5.9,77,2.2,3.3,0.00,0.00,0.00,0.00,958.1
2016-01-03T18:00,4.9,81,1.9,2.0,0.00,0.00,0.00,0.00,957.2
2016-01-03T19:00,4.3,83,1.7,1.2,0.00,0.00,0.00,0.00,956.2
2016-01-03T20:00,3.9,85,1.6,0.7,0.00,0.00,0.00,0.00,954.9
2016-01-03T21:00,3.4,88,1.6,0.1,0.00,0.00,0.00,0.00,953.7
2016-01-03T22:00,3.0,89,1.4,-0.5,0.00,0.00,0.00,0.00,952.5
2016-01-03T23:00,3.0,89,1.3,-0.7,0.00,0.00,0.00,0.00,951.5
2016-01-04T00:00,3.0,88,1.2,-0.7,0.00,0.00,0.00,0.00,950.9
2016-01-04T01:00,2.8,89,1.1,-1.2,0.30,0.30,0.00,0.00,949.7
2016-01-04T02:00,2.1,94,1.3,-1.8,0.70,0.70,0.00,0.00,948.9
2016-01-04T03:00,1.9,96,1.3,-2.0,1.10,0.80,0.21,0.00,947.9
2016-01-04T04:00,1.9,96,1.3,-2.0,1.40,0.90,0.35,0.00,946.9
2016-01-04T05:00,1.9,96,1.4,-1.9,1.20,0.90,0.21,0.01,946.5
2016-01-04T06:00,2.3,94,1.4,-1.6,0.60,0.60,0.00,0.01,945.9
2016-01-04T07:00,2.8,92,1.7,-1.5,0.30,0.30,0.00,0.01,945.5
2016-01-04T08:00,2.8,93,1.8,-1.8,0.30,0.30,0.00,0.01,945.6
2016-01-04T09:00,3.2,91,1.9,-1.5,0.30,0.30,0.00,0.01,945.8
2016-01-04T10:00,3.3,91,2.0,-1.0,0.10,0.10,0.00,0.01,946.0
2016-01-04T11:00,3.9,89,2.3,-0.1,0.00,0.00,0.00,0.01,946.5
2016-01-04T12:00,4.5,89,2.9,1.3,0.20,0.20,0.00,0.01,946.8
2016-01-04T13:00,4.9,89,3.3,1.2,0.20,0.20,0.00,0.01,947.3
2016-01-04T14:00,5.0,88,3.2,0.8,0.20,0.20,0.00,0.01,947.0
2016-01-04T15:00,4.8,89,3.1,0.8,0.10,0.10,0.00,0.01,946.9
2016-01-04T16:00,4.8,87,2.8,0.8,0.00,0.00,0.00,0.01,947.0
2016-01-04T17:00,4.2,88,2.4,0.4,0.00,0.00,0.00,0.01,947.3
2016-01-04T18:00,3.7,89,2.1,0.1,0.00,0.00,0.00,0.01,947.5
2016-01-04T19:00,3.4,90,1.8,-0.3,0.00,0.00,0.00,0.01,947.7
2016-01-04T20:00,3.0,90,1.5,-0.9,0.00,0.00,0.00,0.01,947.8
2016-01-04T21:00,3.0,89,1.3,-0.9,0.00,0.00,0.00,0.01,948.2
2016-01-04T22:00,2.9,89,1.2,-1.0,0.00,0.00,0.00,0.01,948.4
2016-01-04T23:00,2.8,89,1.2,-1.0,0.00,0.00,0.00,0.01,948.6
2016-01-05T00:00,2.4,90,1.0,-1.0,0.00,0.00,0.00,0.01,948.3
2016-01-05T01:00,1.8,91,0.6,-1.7,0.00,0.00,0.00,0.01,948.2
2016-01-05T02:00,1.4,91,0.2,-2.1,0.00,0.00,0.00,0.01,947.9
2016-01-05T03:00,0.9,91,-0.3,-2.7,0.00,0.00,0.00,0.01,947.6
2016-01-05T04:00,0.6,91,-0.7,-3.1,0.00,0.00,0.00,0.01,947.5
2016-01-05T05:00,0.6,91,-0.7,-3.1,0.00,0.00,0.00,0.01,947.5
2016-01-05T06:00,0.8,92,-0.3,-2.8,0.30,0.30,0.00,0.01,947.5
2016-01-05T07:00,1.2,94,0.3,-2.3,0.50,0.50,0.00,0.01,947.6
2016-01-05T08:00,1.6,94,0.7,-1.9,0.60,0.60,0.00,0.01,948.1
2016-01-05T09:00,2.2,91,0.9,-1.3,0.40,0.40,0.00,0.01,948.5
2016-01-05T10:00,2.2,92,1.0,-1.3,0.40,0.40,0.00,0.01,949.0
2016-01-05T11:00,3.3,92,2.0,-0.2,0.20,0.20,0.00,0.01,949.6
2016-01-05T12:00,4.2,89,2.5,0.9,0.10,0.10,0.00,0.01,950.2
2016-01-05T13:00,4.7,86,2.5,1.2,0.30,0.30,0.00,0.01,950.1
2016-01-05T14:00,4.7,86,2.5,1.1,0.50,0.50,0.00,0.01,949.6
2016-01-05T15:00,4.9,85,2.6,1.2,0.40,0.40,0.00,0.01,949.5
2016-01-05T16:00,5.0,84,2.5,1.5,0.10,0.10,0.00,0.01,949.9
2016-01-05T17:00,4.7,84,2.2,1.4,0.00,0.00,0.00,0.01,950.2
2016-01-05T18:00,3.8,86,1.7,0.7,0.00,0.00,0.00,0.01,950.4
2016-01-05T19:00,2.9,90,1.4,-0.4,0.30,0.30,0.00,0.01,950.6
2016-01-05T20:00,2.6,91,1.2,-0.9,1.00,1.00,0.00,0.01,950.8
2016-01-05T21:00,3.2,90,1.7,-0.3,0.60,0.60,0.00,0.01,950.9
2016-01-05T22:00,3.0,90,1.5,-0.5,0.20,0.20,0.00,0.01,951.3
2016-01-05T23:00,2.8,90,1.3,-0.8,0.10,0.10,0.00,0.01,951.4
2016-01-06T00:00,2.5,90,1.1,-1.1,0.10,0.10,0.00,0.01,951.4
2016-01-06T01:00,2.4,90,1.0,-0.9,0.00,0.00,0.00,0.01,952.2
2016-01-06T02:00,2.3,91,0.9,-1.0,0.00,0.00,0.00,0.01,952.0
2016-01-06T03:00,1.9,91,0.7,-1.6,0.00,0.00,0.00,0.01,951.8
2016-01-06T04:00,1.7,91,0.4,-1.8,0.00,0.00,0.00,0.01,952.1
2016-01-06T05:00,1.5,91,0.2,-2.1,0.00,0.00,0.00,0.01,951.8
2016-01-06T06:00,1.3,91,0.1,-2.2,0.00,0.00,0.00,0.01,951.5
2016-01-06T07:00,1.5,91,0.2,-2.0,0.00,0.00,0.00,0.01,951.8
