time,temperature_2m_max (Â°C),temperature_2m_min (Â°C),temperature_2m_mean (Â°C),apparent_temperature_max (Â°C),apparent_temperature_min (Â°C),apparent_temperature_mean (Â°C)
01/01/2016,6.7,-0.1,2.8,4.5,-3,0.2
02/01/2016,5.2,2.2,3.7,3,-1.5,0.8
03/01/2016,6.1,2.7,4.4,3.4,-1,1.5
04/01/2016,4.7,1.5,3,0.9,-2.4,-1
05/01/2016,4.6,0.1,2.4,1.1,-3.7,-1.1
06/01/2016,4.1,-0.2,1.8,0.9,-3.2,-1.4
07/01/2016,5.4,-0.2,2.3,1.8,-3.4,-1.5
08/01/2016,6.4,2.3,4.1,4,-0.9,0.8
09/01/2016,7.4,1.7,3.9,5.8,-0.9,1.5
10/01/2016,6.9,2.1,4.5,3,-1.5,0.8
11/01/2016,6.2,1.6,3.8,1.7,-1.9,-0.1
12/01/2016,4,2.3,2.9,-0.9,-3.1,-2.1
13/01/2016,2.9,0,1.5,-2.7,-5.3,-4.1
14/01/2016,3.7,-4,-0.2,-0.7,-8.3,-4.4
15/01/2016,0.5,-1.6,-0.8,-4.5,-7.9,-6.5
16/01/2016,-0.4,-2.4,-1.7,-4.8,-7.8,-6.1
17/01/2016,-2.2,-6.7,-3.9,-7.1,-11.1,-8.5
18/01/2016,-4.6,-12,-8.5,-8.5,-16.9,-12.8
19/01/2016,-1.6,-14.1,-8,-4.8,-18.7,-11.9
20/01/2016,-2.6,-11.5,-7.8,-6.2,-15.6,-11.6
21/01/2016,-0.9,-9.7,-5,-4.5,-14.2,-8.8
22/01/2016,0.4,-13.6,-6.4,-3.2,-18.3,-10.6
23/01/2016,3.5,-2,2.2,-0.1,-6.4,-1.5
24/01/2016,4,-6.2,-0.1,1.1,-10.4,-3.6
25/01/2016,11.8,-0.7,4.3,10,-4.2,1.4
26/01/2016,11.9,0.5,5.7,9,-3.6,2.2
27/01/2016,12.3,7,9.3,9.1,3.6,5.8
28/01/2016,10.6,5.7,8.4,6.9,3.6,5.3
29/01/2016,8.7,2,5.3,4.7,-1.5,1.9
30/01/2016,8.1,3.5,5.4,2.9,-1,0.4
31/01/2016,9.2,1.6,4.4,4.6,-2.5,0.5
01/02/2016,10.3,7.8,9.4,6.7,3.1,5
02/02/2016,10.4,7.4,8.4,6.4,3.4,4.3
03/02/2016,8.5,0.3,3.3,4.2,-4.6,-0.7
04/02/2016,3,0.2,1.4,-2,-4.9,-3.6
05/02/2016,8.5,1.8,4.7,5.2,-1.2,1.6
06/02/2016,12.7,0.4,5.6,8.8,-3.3,2
07/02/2016,9.2,2.2,4.3,6.3,-1.7,0.8
08/02/2016,9.9,3.1,6.2,4.1,-2.3,0.5
09/02/2016,9.2,3.9,6.3,3.5,-1.4,1.1
10/02/2016,3.2,0.3,1.3,-1.5,-4.5,-3.8
11/02/2016,3.7,-1,1.3,-0.7,-5.3,-3.1
12/02/2016,5,-4.5,0.4,0.9,-8.6,-3.4
13/02/2016,6.5,0.3,3.1,3.2,-3,-0.5
14/02/2016,6.2,2.6,4.3,3.5,-1.5,0.7
15/02/2016,3.9,0.5,2.1,-0.1,-3.5,-1.2
16/02/2016,1.6,-0.9,0.3,-3,-5.2,-4.1
17/02/2016,2.5,-0.8,0.9,0,-4.3,-2.7
18/02/2016,7.7,-2.2,2,4.1,-5.7,-1.3
19/02/2016,3.8,-1.4,1.2,-0.6,-5.5,-2.5
20/02/2016,5.9,-1.8,1.9,-0.2,-6.3,-3.6
21/02/2016,9.8,6.3,8.3,5.3,0.1,3.3
22/02/2016,11.5,7.4,9,6.6,3.2,4.8
23/02/2016,7.7,0.6,4.3,4,-3.3,0.4
24/02/2016,5.1,-0.7,1.9,2.2,-3.9,-1.3
25/02/2016,3.6,-1.8,0.9,-0.6,-5.3,-2.5
26/02/2016,3.7,-3.7,-0.5,-0.8,-7.5,-4.4
27/02/2016,7.1,-3.1,0.8,3.4,-7,-2.8
28/02/2016,4.1,-2.9,0.5,0.5,-7,-3.5
29/02/2016,2.4,-0.5,1,-1.9,-4.8,-3.4
01/03/2016,4.1,-1.5,0.9,-0.3,-5.4,-3.3
02/03/2016,6.3,0.4,3.4,2.7,-4.5,-1.2
03/03/2016,3,-1.2,0.8,-0.9,-5.7,-3.3
04/03/2016,6.9,-1.9,2.2,2.1,-6.2,-1.9
05/03/2016,5.3,0.7,2.9,2.5,-2.5,-0.1
06/03/2016,4.3,-0.4,1.4,-0.4,-4.7,-2.8
07/03/2016,4.4,-2.3,1.1,1.1,-5.8,-2.4
08/03/2016,4.4,-3.3,0,1.2,-7,-3.4
09/03/2016,6.3,-4.4,0.1,1.8,-8.2,-3.9
10/03/2016,7.1,-2.9,1.6,4,-6.7,-1.8
11/03/2016,6.4,-2.1,1.8,2.3,-5.4,-1.7
12/03/2016,7.2,-0.9,2.8,3.2,-4.3,-0.9
13/03/2016,7.4,0.8,3.5,2.3,-3.7,-1
14/03/2016,7.4,0.6,3.3,2.5,-4.3,-1.3
15/03/2016,4.1,-1.7,0.8,1.1,-5.6,-2.7
16/03/2016,7.7,-0.4,2.8,1.5,-5.9,-2.8
17/03/2016,10.3,-2.3,3.6,7.4,-6.2,0.4
18/03/2016,10.8,-0.4,5.3,8.5,-3.3,2.6
19/03/2016,7.1,-0.9,2.9,4.2,-4.3,-0.1
20/03/2016,8.9,1,4,5.9,-1.8,1.1
21/03/2016,6.8,0.7,3.5,3.6,-2,0.7
22/03/2016,7.1,-0.6,3.3,3.3,-4,0
23/03/2016,7.1,1.2,4,3.8,-2,0.9
24/03/2016,7.2,-1,3.7,3.7,-4.2,0.6
25/03/2016,5.9,2.7,4.3,2,-0.3,0.7
26/03/2016,12.4,2.6,7.4,9.7,0,4.6
27/03/2016,9.6,3.6,6.7,5.9,-0.4,3.1
28/03/2016,12.8,1.3,7,7.2,-2.4,2.9
29/03/2016,10.9,4.2,7.5,6.4,-0.5,3.2
30/03/2016,11.1,5.4,8.4,9.6,2.1,6.1
31/03/2016,18.9,4.4,11.5,17.6,2,10
01/04/2016,10.2,4.9,6.7,9.4,2.7,4.2
02/04/2016,17.9,2,9.8,16.8,-0.9,8.1
03/04/2016,18.7,5.5,12.1,17.9,3.4,10.9
04/04/2016,14.8,7.6,11.8,14.2,6.1,10.8
05/04/2016,14.2,7.2,10.4,13.2,5.6,9
06/04/2016,13.5,6.4,10.1,9.9,3.7,7.3
07/04/2016,8.7,4.3,7.3,5.1,1.4,4.1
08/04/2016,9.5,2.3,6,6.5,-0.7,3.3
09/04/2016,10,4.5,6.8,7,1.4,4.1
10/04/2016,12.8,2.9,8.3,9.6,0.3,5.7
11/04/2016,15.8,1.9,9.2,14.6,-1.4,6.9
12/04/2016,15.3,5.1,10.1,14.8,2.5,8.4
13/04/2016,12,4.4,8.7,10.7,2.1,6.7
14/04/2016,13.1,4.3,8.5,12.5,1.7,6.7
15/04/2016,13.4,5.9,9.4,9.9,3,6.5
16/04/2016,13,6.8,9.8,10.1,3.9,7.1
17/04/2016,9.8,5.8,7.8,7.3,3.6,5.3
18/04/2016,10.6,4.8,7.1,6.9,2,4.3
19/04/2016,11.6,0.3,6.6,8.3,-3,3.5
20/04/2016,13.7,1.9,8.9,11.7,-1.4,6.1
21/04/2016,17.8,3.2,10.6,16.5,-0.3,8.2
22/04/2016,15.1,6.1,11.5,12.8,4,9.4
23/04/2016,10.5,3,7.4,8.2,-0.1,4.8
24/04/2016,6.8,-0.8,2.8,2.9,-4.1,-0.9
