time,temperature_2m_max (Â°C),temperature_2m_min (Â°C),temperature_2m_mean (Â°C),apparent_temperature_max (Â°C),apparent_temperature_min (Â°C),apparent_temperature_mean (Â°C)
01/01/2016,7.2,1.2,3.8,5,-1.5,1.2
02/01/2016,5.9,3.2,4.4,4.1,-0.9,1.6
03/01/2016,7.3,4.2,5.5,4.9,0.4,2.9
04/01/2016,5.9,3.1,4.5,2.5,-0.7,0.7
05/01/2016,5.7,1.4,3.8,2.7,-2.1,0.6
06/01/2016,4.8,1.6,3.2,2,-1.5,0.4
07/01/2016,6.6,1.7,3.8,3.2,-1.9,0.1
08/01/2016,7.1,3.6,5,4.8,0.2,1.7
09/01/2016,7,1,3.6,5.4,-1.6,1.3
10/01/2016,8.3,3.2,6,5.1,0.2,2.7
11/01/2016,6.9,3.4,5.1,2.7,-0.1,1.4
12/01/2016,5.5,3.5,4.4,0.7,-1.5,-0.5
13/01/2016,4.5,1.6,3.1,-1.1,-3.8,-2.4
14/01/2016,5.8,-1.2,1.8,1.8,-5.2,-2.3
15/01/2016,1.9,-0.2,0.7,-3.2,-6.6,-5
16/01/2016,1.3,-1.2,0,-3.2,-5.5,-4.2
17/01/2016,-0.3,-3.9,-1.8,-5,-7.9,-6.3
18/01/2016,-2.5,-9.2,-5.5,-5.8,-14.3,-10.1
19/01/2016,-1.9,-9.7,-5.7,-4.9,-14.6,-9.6
20/01/2016,-0.3,-8.7,-5.2,-4,-12.7,-9
21/01/2016,0.4,-7,-2.6,-3.2,-11.5,-6.4
22/01/2016,1.4,-9.2,-4.2,-2.2,-14,-8.5
23/01/2016,4.3,-1.7,3,1.2,-5.9,-0.6
24/01/2016,5.7,-2.3,2.2,2.7,-6.5,-1.1
25/01/2016,12,1.4,5.9,10.3,-1.8,3.2
26/01/2016,13.4,4.8,8.2,10.7,0.9,5
27/01/2016,12.9,8.6,10.6,9.6,5,7
28/01/2016,11.9,6.7,9.3,8,4.7,6.4
29/01/2016,8.8,2.7,5.8,4.6,-0.8,2.2
30/01/2016,8.6,5.3,6.4,3.7,0.4,1.5
31/01/2016,10.2,3,5.7,5.8,-1.1,1.9
01/02/2016,10.8,9.1,10.3,7.3,4.3,5.9
02/02/2016,10.9,9,9.7,6.9,4.9,5.4
03/02/2016,8.1,1.6,4.6,4.3,-3.1,0.5
04/02/2016,4.7,1.7,2.7,0.6,-3.5,-2.1
05/02/2016,9.4,4,6.1,6.5,1.2,3.3
06/02/2016,13.6,3.1,7.4,9.8,-0.5,4
07/02/2016,8.8,4.2,5.7,5.8,0.2,2.2
08/02/2016,10.4,4.6,7.2,5.1,-0.5,1.8
09/02/2016,11,4.6,7.6,6,-0.6,2.6
10/02/2016,4.3,1.6,2.6,0,-3.3,-2.4
11/02/2016,5.4,1,2.7,1.2,-3.7,-1.6
12/02/2016,7.6,-2.2,2.6,3.4,-5.9,-1.1
13/02/2016,7.3,1.2,4,4.7,-1.7,0.8
14/02/2016,7,3.8,5.7,3.9,0.7,2.1
15/02/2016,4.8,1.5,3.1,1.5,-2.6,-0.1
16/02/2016,2.7,-0.2,1.3,-1.8,-4.3,-3
17/02/2016,4.1,0.1,1.8,1.5,-4.2,-1.7
18/02/2016,8.3,-1.1,2.9,4.6,-4.5,-0.4
19/02/2016,4.6,0,1.9,0.2,-3.4,-1.8
20/02/2016,7.1,-0.1,3.2,1.3,-4.6,-2
21/02/2016,10.2,7.5,9.2,5.8,1.3,4.3
22/02/2016,10.9,8.1,9.4,6.1,3.7,5
23/02/2016,9,1,4.3,5.3,-2.9,0.7
24/02/2016,5.9,0,2.7,3.1,-3.1,-0.5
25/02/2016,5.1,-0.6,2.2,0.9,-3.9,-1.3
26/02/2016,5.1,-3.2,0.6,1.1,-6.7,-3.1
27/02/2016,7.7,-2.5,2,4,-7,-2.1
28/02/2016,4.2,-1.6,1.3,0.4,-5.9,-2.9
29/02/2016,3.7,0.6,2.1,-0.7,-3.3,-2.2
01/03/2016,6.1,-0.7,2.4,1.5,-4.4,-1.7
02/03/2016,7.1,2.1,4.5,3.2,-2.4,0.1
03/03/2016,4,0.3,2.3,0.8,-3.8,-1.6
04/03/2016,8.2,-0.9,3.3,3.5,-5.2,-0.7
05/03/2016,6.6,1.7,4.5,4,-1.1,1.8
06/03/2016,5.3,0.9,2.6,0.6,-3.1,-1.7
07/03/2016,6,-0.8,2.6,3.3,-4.4,-0.7
08/03/2016,5.7,-3.4,1,2.6,-6.4,-2.1
09/03/2016,8.2,-3.5,1.7,3.6,-7.3,-2.2
10/03/2016,8,-2.1,2.6,4.9,-5.3,-0.5
11/03/2016,8.2,-1.1,3.1,4.2,-4.4,-0.3
12/03/2016,8.7,-0.6,3.9,4.9,-4.1,0.2
13/03/2016,9.1,1.6,4.7,4.4,-2.4,0.4
14/03/2016,9,1.8,4.7,4.1,-3.1,0.1
15/03/2016,5.2,-1,2.1,2.5,-4.4,-1.3
16/03/2016,9.6,1.3,4.6,3.4,-4,-1
17/03/2016,11.1,-1.5,4.8,8.1,-5.5,1.4
18/03/2016,12.1,-0.1,6.2,9.7,-2.9,3.6
19/03/2016,7.2,-0.6,3.4,4.4,-3.8,0.6
20/03/2016,7.9,1.8,4.5,4.8,-0.7,1.6
21/03/2016,7.9,2.3,4.7,4.9,-0.3,2.1
22/03/2016,8.9,1.1,4.9,5.3,-1.9,1.8
23/03/2016,8.7,3.1,5.7,5.8,0.5,2.9
24/03/2016,8.8,0.5,5.4,5.6,-2.3,2.4
25/03/2016,7.1,4.7,5.8,3.3,1.5,2.4
26/03/2016,13.4,3.7,8.5,11.2,1.2,6
27/03/2016,10.5,6.4,8.4,7.3,2.4,4.7
28/03/2016,14.2,3.5,8.4,9,-0.3,4.4
29/03/2016,11.9,5.3,8.5,7.4,0.6,4.3
30/03/2016,11.2,6.3,8.9,10,3.2,6.7
31/03/2016,17.6,4.3,10.8,16.8,2.1,9.4
01/04/2016,9,4.8,6.5,6.9,2.3,3.8
02/04/2016,18.4,4.1,10.7,17.4,1.2,8.8
03/04/2016,19.4,7.2,13.3,19.3,5.5,12.4
04/04/2016,16.2,8.5,13.1,15.6,7.1,12.2
05/04/2016,15.5,8.7,11.7,14.4,7.7,10.6
06/04/2016,14.2,7.5,11.2,10.9,4.9,8.4
