time,temperature_2m_max (Â°C),temperature_2m_min (Â°C),temperature_2m_mean (Â°C),apparent_temperature_max (Â°C),apparent_temperature_min (Â°C),apparent_temperature_mean (Â°C)
01/01/2016,5.8,1.1,2.8,2.8,-2.3,0.2
02/01/2016,3.8,0.2,1.8,0.9,-3.3,-1.3
03/01/2016,3.3,0.6,1.7,0.4,-2.7,-1.4
04/01/2016,1.5,-0.7,0.4,-2.2,-5.1,-3.6
05/01/2016,2.8,-1.7,0,-0.6,-5.4,-3.5
06/01/2016,1.6,-2.6,-0.6,-1.9,-6.2,-3.9
07/01/2016,3.5,-2.8,0.3,-0.9,-6.8,-3.5
08/01/2016,2.6,-1.1,1.1,0.3,-4.3,-2.1
09/01/2016,4.3,0.5,2.1,2,-2.3,-0.4
10/01/2016,3.4,0.5,1.8,-0.1,-3,-1.8
11/01/2016,3.8,-0.3,1.6,0.2,-4.4,-2.2
12/01/2016,1.4,-0.5,0.4,-3,-6,-4.7
13/01/2016,-0.5,-3.1,-1.3,-5.8,-7.6,-6.7
14/01/2016,-0.3,-7.6,-3.5,-4.3,-11.6,-7.6
15/01/2016,-1.7,-3.9,-2.9,-6.5,-10.4,-8.8
16/01/2016,-2.4,-4.8,-3.8,-6.8,-9.7,-8.1
17/01/2016,-4.4,-8.7,-5.8,-9.1,-12.3,-10.2
18/01/2016,-5.3,-13.2,-10.1,-9.7,-18,-14.6
19/01/2016,-2,-10.1,-5.3,-5.2,-14.1,-8.8
20/01/2016,-1.1,-7.4,-4.2,-4.6,-11,-7.4
21/01/2016,-1.5,-10.5,-6.9,-5.7,-14.8,-11
22/01/2016,0,-8.5,-4.4,-3.5,-12.7,-8.2
23/01/2016,2.4,-2.2,0.6,-0.7,-5.7,-2.9
24/01/2016,3,-5.7,-0.5,0,-9.5,-3.7
25/01/2016,9,-0.3,4.3,6.2,-3.4,1.2
26/01/2016,7.1,1.8,4.1,4.1,-2,0.8
27/01/2016,7.6,0.3,3.3,4.9,-3.7,-0.1
28/01/2016,5.3,3.1,4.3,3.4,-0.5,1.3
29/01/2016,5.8,1.4,3.2,2.3,-1.9,0.4
