time,temperature_2m_max (Â°C),temperature_2m_min (Â°C),temperature_2m_mean (Â°C),apparent_temperature_max (Â°C),apparent_temperature_min (Â°C),apparent_temperature_mean (Â°C)
01/01/2016,8.2,3.4,5.2,5.8,1,3.1
02/01/2016,6.3,3,4.5,4,0.1,1.9
03/01/2016,6.5,3.4,4.5,4.2,0.4,1.9
04/01/2016,4.4,1.4,3.4,1.5,-1.5,0
05/01/2016,6.9,0.6,2.9,4.2,-2.8,-0.1
06/01/2016,5,0.6,2.3,2.5,-2.5,-0.4
07/01/2016,7.1,0.1,3.2,3.6,-3.2,0
08/01/2016,6.5,0.6,4.4,4.5,-2.1,2
09/01/2016,8.3,3.2,5.1,6.9,0.8,3.2
10/01/2016,6.6,1.3,4.2,3.9,-1.7,1.3
11/01/2016,8,2.7,5,5,-0.6,1.7
12/01/2016,4.9,2.7,3.8,1.6,-2.2,-0.5
13/01/2016,3.1,-0.2,2,-1.3,-3.6,-2.5
14/01/2016,3.7,-4.5,-0.2,0.1,-8.3,-3.8
15/01/2016,1.4,-0.5,0.4,-2.3,-6,-4.6
16/01/2016,0.9,-2.7,-0.8,-2.8,-6.1,-4.3
17/01/2016,-0.3,-4,-1.8,-4,-7.4,-5.6
18/01/2016,-1.7,-10.3,-6.6,-5.6,-14.7,-10.7
19/01/2016,0.9,-7.6,-2.7,-2,-11.8,-6.1
20/01/2016,1.2,-3.2,-1.3,-1.7,-6.5,-4.3
21/01/2016,1.4,-6.6,-3,-2.1,-10.6,-6.7
22/01/2016,2.8,-6.8,-2.5,-0.5,-10.8,-6
23/01/2016,5.1,-2.4,2.5,2.8,-5.7,-0.2
24/01/2016,5.2,-3.8,0.6,2.7,-7.5,-2.5
25/01/2016,11.4,-1.7,4.1,9.5,-5.1,1.2
26/01/2016,12.2,2.3,6.3,10.1,-0.9,3.5
27/01/2016,12.7,3.1,6.7,11.2,0.1,4.3
28/01/2016,9.8,3.3,6.5,8.9,0.1,4.4
