time,temperature_2m_max (Â°C),temperature_2m_min (Â°C),temperature_2m_mean (Â°C),apparent_temperature_max (Â°C),apparent_temperature_min (Â°C),apparent_temperature_mean (Â°C)
01/01/2016,5.8,0.2,2.8,3.6,-2.6,0.1
02/01/2016,3.6,1.7,2.7,1.3,-2.5,-0.7
03/01/2016,6.7,2.3,4.9,4.7,-1.9,2.3
04/01/2016,5.6,1.3,3.3,2.2,-2.9,-0.5
05/01/2016,5.8,-0.5,2.8,2.3,-3.9,-0.5
06/01/2016,5.7,1.3,2.9,3.1,-1.9,0.1
07/01/2016,6,0,2.9,2.2,-3.4,-0.7
08/01/2016,6.6,3.1,4.7,4.1,-0.3,1.3
09/01/2016,7.7,2.8,4.7,6.3,0.1,2.5
10/01/2016,7.2,1.5,4.6,4.1,-1.7,1.2
11/01/2016,6.7,2.3,4.5,2.9,-0.8,0.9
12/01/2016,5,3,3.9,0.4,-2.1,-1
13/01/2016,3.5,1.1,2.4,-1.4,-4.3,-3
14/01/2016,4.9,-2.5,1.1,0.6,-6.4,-2.9
15/01/2016,1.3,-0.7,0.2,-3.2,-6.6,-5.3
16/01/2016,0.5,-1.4,-0.6,-3.9,-6.8,-4.9
17/01/2016,-1.2,-5.6,-2.7,-6,-9.8,-7.2
18/01/2016,-3.6,-11,-7.4,-7.7,-15.2,-11.8
19/01/2016,-2.3,-14.6,-8.1,-5.4,-19.3,-12.1
20/01/2016,-2.1,-11.2,-6.9,-6,-15.3,-10.7
21/01/2016,-0.9,-8.5,-3.7,-4.5,-12.7,-7.4
22/01/2016,0.4,-11.8,-5.3,-3.7,-16.8,-9.7
23/01/2016,3.8,-4,2.3,0.4,-8.1,-1.3
24/01/2016,5,-2.2,2,2.1,-5.6,-1.1
25/01/2016,9.9,2,4.8,8.2,-1.1,2.2
26/01/2016,12.6,2.3,5.8,10.7,-1.8,2.8
27/01/2016,12.5,6.4,8.6,9.3,3.3,5.5
28/01/2016,10.6,5.9,8.5,7.3,3.9,5.6
29/01/2016,9.3,2.4,5.6,5.4,-1.1,2.3
30/01/2016,9.2,3.3,5.8,4.7,-0.8,1.2
31/01/2016,9.7,2.1,4.7,5.2,-1.9,0.8
01/02/2016,10.8,8.3,9.9,7.2,4.1,5.8
02/02/2016,11.2,7.4,8.8,7.2,3.4,4.7
03/02/2016,9,0.6,3.9,5,-4.1,0
04/02/2016,3.7,0.4,1.9,-1.1,-4.2,-2.8
05/02/2016,8.7,2.5,4.9,5.6,-0.7,2
06/02/2016,13.6,1,5.8,10.3,-2.4,2.7
07/02/2016,10.5,2.9,5.5,7.6,-0.5,2.2
08/02/2016,11.2,3.7,7,5.5,-1.5,1.7
09/02/2016,9.5,5.1,7,4,-0.3,2.2
10/02/2016,4.5,1.3,2.2,-0.7,-3.5,-2.7
11/02/2016,5.2,0.2,2.4,1.3,-4.1,-1.8
12/02/2016,5.5,-2.1,1.6,1.4,-6,-2.1
13/02/2016,7.2,-0.9,3.5,3.9,-4.2,0
14/02/2016,7.5,3.9,5.3,4.6,-0.4,1.9
15/02/2016,5,1.4,3.3,1.7,-2.2,0.3
16/02/2016,3.2,-0.1,1.5,-1.5,-4.1,-2.7
17/02/2016,3.4,-0.4,1.7,0.8,-3.8,-2
18/02/2016,8.8,-1.7,3,5.6,-5,-0.2
19/02/2016,4.6,-0.5,1.8,0.5,-4.2,-1.7
20/02/2016,6.4,-1.3,2.4,0.7,-5.6,-2.6
21/02/2016,10.3,6.8,8.8,5.9,0.8,4
22/02/2016,12.5,7.9,9.5,7.5,3.7,5.4
23/02/2016,8.2,1.1,4.9,5.2,-2.6,1.4
24/02/2016,5.9,0.5,2.6,3.1,-2.8,-0.5
25/02/2016,4.6,-0.6,2,0.6,-4.3,-1.3
26/02/2016,4.5,-2.5,0.7,0.4,-6.1,-3
27/02/2016,7.7,-1.3,2.1,3.9,-5.5,-1.9
28/02/2016,5.2,-0.3,1.8,1.1,-5.3,-2.8
29/02/2016,3.5,-0.7,1.6,-0.8,-4.8,-2.8
01/03/2016,3.7,-1.1,0.9,-0.4,-4.9,-3.1
02/03/2016,7,1,3.9,3.1,-3.2,-0.2
03/03/2016,4.6,-0.3,1.8,0.9,-4.3,-2
04/03/2016,8,-0.1,3.5,2.9,-4,-0.5
05/03/2016,6.2,0.2,3.3,4.3,-2.8,0.5
06/03/2016,5.8,0.5,2.6,1.4,-3.7,-1.4
07/03/2016,5.6,-0.8,2.1,2.6,-3.9,-1.3
08/03/2016,5.3,-4.4,0.5,2,-7.4,-2.7
09/03/2016,7.5,-4.7,0.8,3,-8.3,-3
10/03/2016,8.7,-2.2,2.5,5.7,-5.3,-0.6
11/03/2016,7.7,-0.1,3.2,3.7,-3.6,-0.4
12/03/2016,8.2,1.1,4.3,4.5,-2.7,0.4
13/03/2016,8.6,1.5,4.6,3.8,-3,0
14/03/2016,8.4,0.9,4.1,3.5,-4,-0.6
15/03/2016,3.4,-1.1,1.7,0.5,-4.4,-1.8
16/03/2016,8.7,0.6,3.8,2.5,-4.9,-1.9
17/03/2016,11.4,-0.6,4.7,8.4,-4.4,1.3
18/03/2016,11.4,-0.2,5.4,9.2,-3.1,2.7
19/03/2016,7.3,-0.1,3.9,4.7,-3.2,1.2
20/03/2016,8.6,1.3,4.4,5.5,-1.4,1.5
21/03/2016,7.6,1.6,4.5,4.6,-1.2,1.7
22/03/2016,8.1,0.1,4.2,4.5,-3.2,1
23/03/2016,8.3,2.4,5.1,5.2,-0.3,2.2
24/03/2016,7.9,0.6,4.6,4.3,-2.5,1.5
25/03/2016,6.8,3.5,5,2.7,0.5,1.5
26/03/2016,13.2,4.3,8.2,10.9,2,5.5
27/03/2016,11.2,3,7.4,7.7,-0.6,4.3
28/03/2016,13.4,1.2,7.7,9,-2.1,4
29/03/2016,12,5.4,8.7,7.4,0.9,4.5
30/03/2016,12.1,6.5,9.1,10.3,4,7.2
31/03/2016,20.1,5.9,12.8,19.8,3.9,11.7
01/04/2016,11.3,5.3,7.7,10.7,2.8,5.4
02/04/2016,18.2,4.7,10.7,16.6,1.9,8.7
03/04/2016,20.3,6.8,13.7,20,5.2,12.8
04/04/2016,16.1,10.2,13.2,15.5,9.2,12.2
05/04/2016,15.7,8.6,11.7,14.9,6.9,10.3
06/04/2016,14.7,7.9,11.2,11.4,5.4,8.8
07/04/2016,10.2,6.2,8.4,7,3.4,5.3
08/04/2016,10.6,4.3,7.5,8.2,1.3,5.1
09/04/2016,11.3,5.9,8.4,8.8,3.1,5.9
10/04/2016,13.7,5.2,9.6,11.1,3.1,7.4
11/04/2016,16.7,4.9,10.8,15.3,2,8.6
12/04/2016,16.5,5.5,10.7,14.6,3.2,9.1
13/04/2016,13.7,5.7,9.9,12.3,3.9,8.2
14/04/2016,14,6.3,9.7,13.3,4,8.1
15/04/2016,14.3,5.9,9.9,11.1,3.3,7.1
16/04/2016,14.4,7.1,10.7,11.5,4.5,8.3
17/04/2016,10.6,7.2,8.7,8.1,5.3,6.7
18/04/2016,11.6,5.7,8.5,8.5,3.9,6
19/04/2016,11.9,1.9,7.7,8.7,-1,4.8
20/04/2016,14.6,2.2,9.6,12.9,-1,6.9
21/04/2016,18.4,4.3,11.5,17.3,0.9,9.1
22/04/2016,17.1,5.9,12,14.8,3.8,10.1
23/04/2016,12.2,3.7,8.5,9.7,0.8,6
24/04/2016,7.4,0.6,3.8,3.2,-2.5,0.2
25/04/2016,7.5,-0.1,3.8,3.4,-3.6,-0.2
26/04/2016,5.5,2.3,4,0.6,-2.1,-0.9
27/04/2016,8.1,0.9,4.1,2.9,-3.9,-0.9
28/04/2016,9.1,-0.4,4.9,7.4,-3.8,2
29/04/2016,13.5,-1.2,7,11,-4.5,4.2
30/04/2016,16.7,2.5,10,15.9,-0.1,7.9
01/05/2016,15.6,6.4,11,11.4,3,7.8
02/05/2016,16.8,6.2,12,14.9,3.7,9.8
03/05/2016,14.5,8,10.9,11.2,5.8,8.2
04/05/2016,13.4,3.7,9.1,11.6,1,6.5
05/05/2016,16.5,4.7,11,13.5,1.8,7.7
06/05/2016,21.4,7.8,14.7,21.4,5.4,13.3
07/05/2016,22.5,8.7,16,21.7,6.7,14.3
08/05/2016,22.6,11.1,16.9,21.2,8.1,14.5
09/05/2016,22.8,11.5,17.4,21.8,9,15.6
10/05/2016,19.1,12.5,15.7,19.6,11.4,15
11/05/2016,22.4,10.1,16.3,21.6,8.9,15.3
12/05/2016,16.1,12.4,14.2,15.5,11.7,13.6
13/05/2016,18.5,12.3,14.2,17.8,11.6,13.6
14/05/2016,14.7,8.4,12.1,13.6,5.1,10.2
15/05/2016,10.8,5.1,7.9,6.6,1.7,4.1
16/05/2016,10.9,5.2,7.4,8.5,2.1,4.5
17/05/2016,13.4,3.6,9.2,10.6,1,6.6
18/05/2016,18.5,4.9,12.4,17,2.4,10.6
19/05/2016,14,10.4,12,12.2,7.9,10.2
20/05/2016,17.5,5.3,12.6,15.6,3,10.8
21/05/2016,22.5,8.8,16.8,23.3,7.4,16.5
22/05/2016,26.1,11.7,18.8,28,10.4,18.8
23/05/2016,15,9.7,11.8,15,7.3,9.8
24/05/2016,10.5,8.9,9.8,9.2,6.1,7.7
25/05/2016,17.8,9.3,13.4,17.8,8.8,12.9
26/05/2016,22,9.7,16.4,23.9,8.8,16.6
27/05/2016,23.2,13.5,18.5,25.9,13,19.2
28/05/2016,23.2,13,18.1,24.9,13.1,19.2
29/05/2016,21.4,13.9,17.1,21.9,14.5,17.6
30/05/2016,19,14,15.8,18,12.3,14.6
31/05/2016,20.7,11,16.1,21.1,9.8,15.4
01/06/2016,18.4,10.3,15.1,17.1,9.1,14.2
02/06/2016,18.3,11.5,15.5,18.5,10.7,15.4
03/06/2016,20.6,11.4,16,21.5,11.2,16.6
04/06/2016,19.4,11.5,16,20.5,11.2,16.7
05/06/2016,21.4,11.9,16.9,23.4,11.7,17.9
06/06/2016,24.5,12.5,18.9,26.7,12.7,19.8
