time,temperature_2m_max (Â°C),temperature_2m_min (Â°C),temperature_2m_mean (Â°C),apparent_temperature_max (Â°C),apparent_temperature_min (Â°C),apparent_temperature_mean (Â°C)
01/01/2016,7,0.9,3.3,4.2,-1.5,0.7
02/01/2016,5.6,1.8,3.7,3.1,-1.7,0.7
03/01/2016,5.4,2.4,3.9,2.5,-1.1,0.9
04/01/2016,3.5,1.4,2.3,-0.3,-3.2,-1.8
05/01/2016,4,-0.2,1.9,0.3,-3.9,-1.7
06/01/2016,2.5,0.1,1.5,-0.4,-3,-1.8
07/01/2016,4.8,0.1,2.1,0.6,-3.1,-1.8
08/01/2016,5.7,1.2,3.3,3.2,-1.9,0
09/01/2016,6.9,1.8,3.7,4.7,-1,1.2
10/01/2016,5.9,2.4,4.4,1.9,-1.7,0.6
11/01/2016,5.3,1.1,3.3,1.1,-2.7,-0.8
12/01/2016,2.9,1.4,2,-2.1,-4,-3.1
13/01/2016,1.8,-1.1,0.7,-3.7,-5.7,-4.8
14/01/2016,1.5,-6.2,-1.8,-2.8,-10.6,-6.1
15/01/2016,-0.3,-2.3,-1.6,-5.2,-8.9,-7.4
16/01/2016,-1.4,-3.4,-2.6,-5.8,-8.3,-6.8
17/01/2016,-3.1,-7.1,-4.8,-7.8,-11.2,-9.1
18/01/2016,-6.8,-13.7,-10.4,-11.2,-18.6,-14.9
19/01/2016,-2,-15.8,-8.4,-5.1,-20.6,-12.2
20/01/2016,-1.9,-12,-7.1,-5.3,-15.7,-10.7
21/01/2016,-2.1,-9.9,-6.7,-5.9,-13.6,-10.5
22/01/2016,-1.6,-15.6,-8.2,-5.2,-20.6,-12.6
23/01/2016,2.9,-2.2,1.5,-0.3,-6.4,-2.1
24/01/2016,3.1,-5.7,-0.7,0,-10.1,-4.3
25/01/2016,10.1,-1.1,2.9,7.6,-4.5,-0.4
26/01/2016,8.5,-0.1,3.8,5.4,-4.5,0.2
27/01/2016,10.8,5.8,8,8,2.2,4.5
28/01/2016,9.2,4.9,7.3,5.6,2.8,4.2
29/01/2016,7.3,0.7,4.2,3.2,-2.5,0.8
30/01/2016,6.8,2.5,4.3,1.4,-2.4,-1
31/01/2016,8.5,1.1,3.7,4.1,-2.7,-0.3
01/02/2016,8.9,6.3,8.2,5.6,1.5,3.8
02/02/2016,8.5,6,6.9,4.3,1.8,2.6
03/02/2016,6.8,-0.3,2.5,2.5,-4.9,-1.5
04/02/2016,2,-0.6,0.6,-2.4,-5.2,-4.3
05/02/2016,7.1,1.2,3.8,3.8,-1.9,0.7
06/02/2016,11.6,0.5,5.6,7.5,-3.2,1.9
07/02/2016,7.8,1.4,3.5,4.9,-2.5,-0.2
08/02/2016,8.3,2.3,5.2,2.1,-3.2,-0.8
09/02/2016,8.4,3,5.6,2.8,-2.6,0.2
10/02/2016,2.2,-0.5,0.6,-2.9,-5.4,-4.7
11/02/2016,2.5,-1.1,0.3,-1.7,-6.1,-4.1
12/02/2016,3.9,-6,-0.7,-0.2,-10.3,-4.6
13/02/2016,4.9,0.1,2.3,1.2,-3.3,-1.6
14/02/2016,4.8,1.7,3.3,2,-2.4,-0.5
15/02/2016,3,-0.1,1.4,-0.6,-4,-2
16/02/2016,0.4,-1.6,-0.5,-4.1,-6.2,-5.2
17/02/2016,1.6,-1.1,0,-0.9,-5.4,-3.6
