time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),surface_pressure (hPa)
2016-01-01T00:00,0.8,96,0.3,-2,0,0,0,0,992.5
2016-01-01T01:00,0.9,96,0.4,-1.7,0,0,0,0,992.6
2016-01-01T02:00,1,96,0.5,-1.6,0,0,0,0,992.7
2016-01-01T03:00,1.6,97,1.2,-0.8,0,0,0,0,993
2016-01-01T04:00,2,97,1.6,-0.1,0,0,0,0,993.4
2016-01-01T05:00,2.1,97,1.7,-0.1,0,0,0,0,994
2016-01-01T06:00,1.9,97,1.4,-0.4,0,0,0,0,994
2016-01-01T07:00,1.2,96,0.7,-1.2,0,0,0,0,993.8
2016-01-01T08:00,0.7,96,0.1,-1.8,0,0,0,0,994
2016-01-01T09:00,0.4,98,0.1,-2.2,0,0,0,0,994
2016-01-01T10:00,0.5,99,0.3,-2.3,0,0,0,0,994.4
2016-01-01T11:00,1.8,99,1.6,-0.8,0,0,0,0,994.3
2016-01-01T12:00,4.3,98,4,2.2,0,0,0,0,994.6
2016-01-01T13:00,5.3,98,4.9,3.2,0,0,0,0,994.3
2016-01-01T14:00,6.4,97,6,4.3,0,0,0,0,993.5
2016-01-01T15:00,6.7,97,6.3,4.8,0,0,0,0,993
2016-01-01T16:00,6.4,96,5.9,4.4,0,0,0,0,992.3
2016-01-01T17:00,5.5,98,5.3,3.3,0,0,0,0,992.1
2016-01-01T18:00,5,99,4.8,2.5,0,0,0,0,991.7
2016-01-01T19:00,4.5,99,4.3,1.6,0,0,0,0,991.2
2016-01-01T20:00,4.1,97,3.6,0.6,0,0,0,0,990.4
2016-01-01T21:00,3.9,92,2.8,0.2,0,0,0,0,989.9
2016-01-01T22:00,3.9,91,2.6,0.1,0,0,0,0,989
2016-01-01T23:00,3.7,91,2.3,-0.2,0,0,0,0,987.9
2016-01-02T00:00,3.6,91,2.2,0.4,0,0,0,0,987.4
2016-01-02T01:00,3.5,91,2.1,0.4,0,0,0,0,987.2
2016-01-02T02:00,3.5,91,2.1,0.3,0,0,0,0,986.7
2016-01-02T03:00,3.4,91,2.1,0,0,0,0,0,985.9
2016-01-02T04:00,3.2,92,2,-0.4,0,0,0,0,985.2
2016-01-02T05:00,3,92,1.9,-0.7,0,0,0,0,984.5
2016-01-02T06:00,2.7,93,1.7,-1.3,0,0,0,0,983.7
2016-01-02T07:00,2.7,92,1.6,-1.5,0,0,0,0,982.8
2016-01-02T08:00,2.6,92,1.4,-1.3,0,0,0,0,982.8
2016-01-02T09:00,2.7,91,1.3,-1.1,0.3,0.3,0,0,982.9
2016-01-02T10:00,2.8,92,1.6,-0.9,0.6,0.6,0,0,982.5
2016-01-02T11:00,2.9,94,2.1,-0.6,0.8,0.8,0,0,982.3
2016-01-02T12:00,3.3,94,2.5,-0.2,0.6,0.6,0,0,981.7
2016-01-02T13:00,3.8,94,3,0.7,0.3,0.3,0,0,981.2
2016-01-02T14:00,4.4,93,3.4,1.6,0.2,0.2,0,0,980.6
2016-01-02T15:00,4.7,93,3.7,1.9,0.3,0.3,0,0,980.4
2016-01-02T16:00,4.7,94,3.8,2,0.5,0.5,0,0,980.1
2016-01-02T17:00,4.7,94,3.9,2,0.6,0.6,0,0,980.2
2016-01-02T18:00,4.7,94,3.8,2.2,0.7,0.7,0,0,980.2
2016-01-02T19:00,4.7,94,3.9,2.5,0.8,0.8,0,0,980.2
2016-01-02T20:00,4.9,94,4,2.7,1,1,0,0,980.3
2016-01-02T21:00,4.8,94,4,2.7,1,1,0,0,980.3
2016-01-02T22:00,4.9,95,4.1,2.9,0.7,0.7,0,0,980.2
2016-01-02T23:00,4.9,95,4.2,3.2,0.6,0.6,0,0,980.3
2016-01-03T00:00,5.2,94,4.3,3.4,0.7,0.7,0,0,980.7
2016-01-03T01:00,5.3,93,4.2,3.5,0.5,0.5,0,0,980.7
2016-01-03T02:00,5.3,93,4.2,3.3,0.3,0.3,0,0,980.4
2016-01-03T03:00,5.4,93,4.4,3.5,0.4,0.4,0,0,980.2
2016-01-03T04:00,5.4,93,4.3,3.5,0.3,0.3,0,0,980
2016-01-03T05:00,5.2,94,4.3,3.3,0.2,0.2,0,0,979.6
2016-01-03T06:00,5,94,4.1,2.9,0,0,0,0,979.4
2016-01-03T07:00,5.1,94,4.2,2.9,0,0,0,0,979.2
2016-01-03T08:00,4.9,95,4.1,2.6,0,0,0,0,979
2016-01-03T09:00,4.8,93,3.8,2.4,0.1,0.1,0,0,978.6
2016-01-03T10:00,4.7,94,3.8,2.3,0,0,0,0,978.4
2016-01-03T11:00,5,94,4,2.5,0,0,0,0,978.2
2016-01-03T12:00,6.1,87,4.2,3.7,0,0,0,0,977.8
2016-01-03T13:00,6.8,81,3.8,4.2,0,0,0,0,977.1
2016-01-03T14:00,7.1,78,3.6,4.6,0,0,0,0,976.1
2016-01-03T15:00,7.2,78,3.5,4.8,0,0,0,0,974.9
2016-01-03T16:00,7.2,77,3.4,5.1,0,0,0,0,974.2
2016-01-03T17:00,6.8,78,3.1,4.4,0,0,0,0,973.1
2016-01-03T18:00,5.9,81,2.8,3,0,0,0,0,972.2
2016-01-03T19:00,5.3,84,2.7,2.1,0,0,0,0,971.3
2016-01-03T20:00,4.8,86,2.6,1.4,0,0,0,0,970
2016-01-03T21:00,4,91,2.7,0.5,0,0,0,0,968.7
2016-01-03T22:00,3.6,92,2.4,-0.1,0,0,0,0,967.6
2016-01-03T23:00,3.4,92,2.1,-0.5,0,0,0,0,966.6
2016-01-04T00:00,3.2,91,1.8,-0.7,0,0,0,0,966.2
2016-01-04T01:00,3,90,1.4,-1.2,0.2,0.2,0,0,964.8
2016-01-04T02:00,2.6,91,1.3,-1.6,0.5,0.5,0,0,963.9
2016-01-04T03:00,2.3,93,1.3,-1.8,0.9,0.9,0,0,963.1
2016-01-04T04:00,2.3,94,1.4,-1.6,1.2,1.1,0.07,0,961.9
2016-01-04T05:00,2.4,94,1.6,-1.3,1.3,1.2,0.07,0.01,961.3
2016-01-04T06:00,2.7,93,1.8,-0.9,0.8,0.7,0.07,0.01,960.8
2016-01-04T07:00,3.3,92,2.1,0,0.4,0.4,0,0.01,960.4
2016-01-04T08:00,3.5,92,2.3,0.1,0.4,0.4,0,0.01,960.3
2016-01-04T09:00,3.9,91,2.6,0.1,0.5,0.5,0,0.01,960.3
2016-01-04T10:00,4.1,90,2.6,0.4,0.2,0.2,0,0.01,960.5
2016-01-04T11:00,4.7,88,3,1.1,0,0,0,0.01,960.9
2016-01-04T12:00,5.4,87,3.4,2.4,0,0,0,0.01,961.3
2016-01-04T13:00,6.1,86,3.9,2.6,0,0,0,0.01,961.5
2016-01-04T14:00,6.1,87,4.1,2.4,0,0,0,0.01,961.3
2016-01-04T15:00,5.8,86,3.7,1.9,0,0,0,0.01,961.2
2016-01-04T16:00,5.8,86,3.6,1.7,0,0,0,0.01,961.3
2016-01-04T17:00,5.2,87,3.3,1.5,0,0,0,0.01,961.6
2016-01-04T18:00,4.8,88,3,1.4,0,0,0,0.01,961.9
2016-01-04T19:00,4.4,89,2.7,1.1,0,0,0,0,962
2016-01-04T20:00,3.9,89,2.3,0.5,0,0,0,0,962.3
2016-01-04T21:00,3.8,88,2.1,0.4,0,0,0,0,962.7
2016-01-04T22:00,3.5,89,1.9,0.1,0,0,0,0,962.8
2016-01-04T23:00,3.3,89,1.7,0,0,0,0,0,963.2
2016-01-05T00:00,3,90,1.5,-0.2,0,0,0,0,963
2016-01-05T01:00,2.4,91,1.2,-0.6,0,0,0,0,962.9
2016-01-05T02:00,1.9,92,0.7,-1.1,0,0,0,0,962.7
2016-01-05T03:00,1.3,92,0.1,-1.8,0,0,0,0,962.4
2016-01-05T04:00,0.6,92,-0.5,-2.6,0,0,0,0,962.2
2016-01-05T05:00,0.1,93,-0.9,-3.2,0,0,0,0,962.2
2016-01-05T06:00,-0.3,93,-1.3,-3.7,0,0,0,0.01,962.1
2016-01-05T07:00,0.6,93,-0.3,-2.7,0.2,0.2,0,0.01,962.2
2016-01-05T08:00,1.7,94,0.9,-1.5,0.5,0.5,0,0.01,962.8
2016-01-05T09:00,2.5,92,1.4,-0.6,0.2,0.2,0,0.01,963.2
2016-01-05T10:00,2.5,92,1.3,-0.8,0.3,0.3,0,0.01,963.6
2016-01-05T11:00,3.6,91,2.3,0.5,0.2,0.2,0,0.01,964.3
2016-01-05T12:00,5,88,3.2,1.9,0.2,0.2,0,0.01,964.8
2016-01-05T13:00,5.9,83,3.2,3,0.3,0.3,0,0.01,964.8
2016-01-05T14:00,5.9,82,3.1,2.8,0.3,0.3,0,0.01,964.3
2016-01-05T15:00,5.8,84,3.3,2.6,0.3,0.3,0,0.01,964
2016-01-05T16:00,5.7,85,3.3,2.4,0.4,0.4,0,0.01,964.3
2016-01-05T17:00,5.5,85,3.2,2.5,0.2,0.2,0,0.01,964.7
2016-01-05T18:00,4.5,89,2.9,1.8,0,0,0,0.01,965
2016-01-05T19:00,3.6,91,2.2,0.8,0.2,0.2,0,0.01,965.3
2016-01-05T20:00,3.3,90,1.8,0.2,0.5,0.5,0,0.01,965.4
2016-01-05T21:00,3.7,90,2.3,0.6,0.5,0.5,0,0.01,965.4
2016-01-05T22:00,3.5,90,2.1,0.3,0.3,0.3,0,0.01,965.8
2016-01-05T23:00,3.3,91,1.9,0,0.2,0.2,0,0.01,966
2016-01-06T00:00,3.3,90,1.8,0,0.2,0.2,0,0.01,966.1
2016-01-06T01:00,3.1,90,1.6,-0.1,0.2,0.2,0,0.01,966.7
2016-01-06T02:00,2.8,91,1.5,-0.4,0,0,0,0.01,966.6
2016-01-06T03:00,2.5,91,1.3,-0.5,0,0,0,0.01,966.6
2016-01-06T04:00,2.1,92,1,-0.8,0,0,0,0.01,966.9
2016-01-06T05:00,1.8,92,0.6,-1.3,0,0,0,0.01,966.7
2016-01-06T06:00,1.4,93,0.4,-1.7,0,0,0,0.01,966.3
2016-01-06T07:00,1.4,92,0.3,-1.7,0,0,0,0.01,966.6
2016-01-06T08:00,1.5,93,0.4,-1.7,0,0,0,0.01,966.7
2016-01-06T09:00,1.1,93,0.1,-2.1,0,0,0,0.01,967.1
2016-01-06T10:00,1.3,94,0.5,-1.6,0,0,0,0.01,967.4
2016-01-06T11:00,2.6,94,1.8,0,0,0,0,0.01,967.9
2016-01-06T12:00,5.2,88,3.4,2.8,0,0,0,0.01,968.5
2016-01-06T13:00,5.9,83,3.2,3.5,0,0,0,0.01,968.7
2016-01-06T14:00,5.6,82,2.7,2.8,0,0,0,0.01,968.4
2016-01-06T15:00,5.4,83,2.7,2.7,0,0,0,0.01,968.4
2016-01-06T16:00,4.8,86,2.7,2.2,0.3,0.3,0,0.01,968.6
2016-01-06T17:00,3.9,92,2.8,1.5,0.3,0.3,0,0.01,969
2016-01-06T18:00,3.2,94,2.3,0.7,0.1,0.1,0,0.01,969.2
2016-01-06T19:00,2.8,95,2.1,0.5,0,0,0,0.01,969.4
2016-01-06T20:00,2.5,95,1.8,0.6,0.1,0.1,0,0.01,969.5
2016-01-06T21:00,2.1,97,1.6,-0.4,0.3,0.3,0,0.01,969.7
